sleep_hours,study_hours,mobile_usage_hours,tv_hours,exercise_hours,extracurricular_hrs,friends_time_hrs,family_time_hrs,attendance_pct,stress_level,gender,exam_score
8.5,6.73,5.02,2.38,1.99,0.96,2.48,1.51,82.4,8,Male,69.91
5.7,2.24,2.45,2.65,2.92,1.59,2.84,1.77,76.7,5,Female,57.46
7.4,3.69,4.77,0.0,1.19,1.1,2.72,1.27,100.0,7,Female,65.8
5.9,5.13,2.94,2.2,0.0,1.58,3.63,1.43,73.9,8,Female,61.59
6.19,4.39,3.68,2.69,1.34,1.64,1.95,2.41,63.3,1,Male,68.19
8.77,2.4,1.7,2.58,1.74,1.04,2.74,3.87,61.1,7,Male,54.79
6.35,5.08,2.71,2.8,1.66,1.97,4.95,1.68,85.9,9,Male,56.95
7.55,4.48,2.36,1.67,1.37,1.04,2.46,2.92,58.9,6,Female,61.08
4.75,7.37,3.79,0.96,2.69,1.21,2.5,2.32,63.5,7,Female,68.82
9.23,4.12,3.62,0.2,1.61,0.52,1.24,0.49,61.8,1,Male,68.58
7.72,6.25,4.1,3.09,1.42,1.01,1.79,1.98,83.5,8,Female,66.75
6.78,2.6,2.86,2.7,0.88,2.71,2.39,1.86,94.0,10,Female,48.12
7.69,2.96,2.29,3.17,0.1,0.57,3.03,3.32,66.7,4,Female,57.8
5.31,5.58,3.74,1.27,1.76,1.51,3.15,3.35,83.1,5,Female,72.25
8.42,6.13,2.16,2.8,1.7,0.88,2.83,2.34,46.4,6,Female,74.38
6.61,3.06,4.9,0.5,0.65,0.0,3.3,3.09,69.1,2,Female,56.75
6.76,4.54,3.35,1.13,1.46,1.59,1.5,1.87,85.2,1,Female,72.1
6.41,2.43,3.08,2.13,1.38,0.81,2.99,3.01,74.3,1,Female,58.24
6.3,4.23,4.1,2.66,1.0,1.42,2.51,2.09,89.9,2,Male,69.37
7.83,5.76,3.4,3.68,0.87,1.89,2.62,2.99,51.2,8,Male,63.67
7.31,3.85,1.34,1.76,1.82,1.36,2.14,3.08,69.2,7,Female,61.35
7.78,4.13,2.12,1.13,1.32,1.43,1.55,2.64,83.4,7,Male,69.38
6.99,2.81,4.88,1.08,1.03,0.59,1.28,1.33,83.3,1,Male,61.1
7.62,3.53,3.61,1.31,0.81,1.69,2.82,1.62,84.2,3,Male,62.22
6.5,7.14,1.31,4.22,1.4,1.07,3.0,2.68,80.5,10,Female,68.66
9.68,4.61,3.96,2.76,2.24,0.0,2.37,2.8,64.3,6,Male,69.09
5.12,3.0,2.77,3.11,1.67,1.78,2.49,2.14,68.7,1,Female,59.81
8.51,4.03,2.36,1.76,1.31,1.99,1.78,1.72,100.0,10,Female,63.34
8.64,2.1,2.01,2.0,1.75,2.24,3.0,2.17,62.9,6,Male,57.91
5.98,2.98,4.8,2.7,2.59,2.72,2.56,1.75,61.0,5,Male,53.11
9.68,6.54,0.94,1.49,1.89,1.74,2.13,1.75,86.2,6,Male,83.75
8.19,4.29,2.41,1.71,1.71,1.56,3.37,3.76,65.3,4,Male,65.02
8.17,7.34,3.66,1.33,2.01,1.96,3.15,1.57,99.5,7,Male,78.58
7.03,4.36,5.55,1.55,1.37,0.58,0.96,2.46,100.0,4,Male,61.67
6.74,4.45,4.22,2.05,1.65,0.03,2.55,2.14,75.1,4,Female,59.93
6.75,5.46,2.4,1.18,1.11,0.87,1.54,0.9,81.7,2,Male,74.14
7.47,0.49,5.49,2.29,0.26,2.09,2.64,0.87,56.1,2,Male,44.6
8.68,4.81,1.74,2.28,1.77,0.74,0.0,1.93,90.4,10,Female,70.26
7.22,4.43,3.84,1.82,1.78,1.53,2.7,0.24,51.1,3,Female,61.27
5.91,6.73,4.13,1.17,1.27,1.6,3.21,3.65,61.9,2,Male,67.67
7.99,5.95,2.35,2.1,2.33,1.37,2.39,1.67,79.4,5,Female,76.51
8.11,2.8,4.41,1.5,0.92,0.31,1.34,1.6,84.6,1,Male,58.45
7.79,6.36,2.83,2.05,0.08,1.44,4.46,3.1,60.2,5,Female,71.4
7.89,4.11,4.4,3.1,0.94,0.9,3.66,1.87,71.5,2,Female,64.72
6.67,3.14,1.11,0.75,0.27,2.39,1.97,2.59,58.1,3,Female,61.28
5.89,4.8,3.94,4.17,1.77,2.0,2.24,1.48,74.2,2,Female,66.47
5.96,4.2,2.96,1.93,0.9,0.93,0.52,2.04,68.4,9,Female,56.62
5.04,6.81,4.99,2.41,2.29,2.44,2.97,2.87,70.4,5,Male,68.42
7.28,5.01,3.44,1.25,2.27,1.44,1.13,1.22,85.8,1,Female,76.16
6.9,4.81,5.12,3.14,0.76,0.03,3.17,2.47,81.4,10,Male,48.44
6.47,5.85,4.16,1.87,0.85,1.15,3.53,0.0,84.7,10,Male,58.62
3.45,6.14,3.33,1.61,1.93,2.34,2.43,3.14,76.4,2,Female,68.15
5.5,5.68,4.52,1.42,2.28,0.63,1.44,1.5,86.6,1,Male,70.57
8.35,6.63,4.53,1.73,0.0,1.15,3.75,1.92,77.6,2,Male,73.84
6.2,5.41,4.11,2.42,1.73,0.25,2.5,1.91,72.1,3,Male,60.35
7.43,4.75,0.52,2.17,0.0,0.36,2.59,1.12,84.8,5,Female,71.49
5.33,6.36,2.22,1.96,1.06,0.62,1.57,1.05,72.9,8,Male,65.43
8.73,4.36,5.3,1.29,2.37,0.34,2.69,2.47,74.0,10,Male,60.32
6.83,4.55,1.87,1.23,3.91,0.77,2.3,2.51,90.8,9,Male,69.84
7.35,7.08,4.65,1.54,1.31,2.42,1.17,1.2,89.7,10,Female,72.56
9.79,6.93,4.42,2.46,0.5,1.17,3.84,2.49,74.4,1,Male,83.55
8.82,4.49,2.56,2.66,1.09,1.75,4.26,2.5,88.5,10,Female,62.69
6.63,3.82,0.91,2.8,1.55,1.96,3.52,1.66,62.7,7,Male,61.24
6.29,6.69,2.76,2.0,0.96,0.42,3.37,0.84,74.5,2,Female,73.26
6.61,5.7,6.2,2.38,0.76,0.62,4.27,1.97,69.0,10,Female,51.84
7.61,4.97,2.38,1.83,1.16,1.74,1.45,2.33,78.0,8,Male,64.88
6.87,4.02,2.47,0.26,1.82,0.76,1.44,1.95,86.8,8,Male,68.92
6.53,5.0,2.2,1.78,1.36,1.69,2.09,1.47,84.7,7,Male,64.43
8.76,4.47,5.08,1.62,0.79,2.37,2.8,2.42,83.0,8,Male,65.26
6.86,3.5,3.18,0.96,0.96,0.18,2.21,3.14,79.6,1,Female,61.85
9.76,4.69,2.69,1.43,1.17,0.95,1.48,1.31,76.1,6,Male,70.22
7.11,4.9,5.34,2.14,0.7,1.06,2.51,1.73,92.4,7,Female,60.61
9.14,3.94,4.25,0.87,0.93,0.83,2.41,4.47,59.4,9,Male,53.22
7.43,5.86,2.3,1.29,2.01,0.77,3.34,2.26,70.0,7,Male,67.3
8.16,6.43,1.91,3.55,1.32,0.86,2.54,0.86,82.9,3,Female,79.97
6.13,5.95,5.01,0.4,0.1,1.19,0.6,1.57,96.3,7,Female,66.62
5.98,4.09,3.52,1.82,2.32,1.32,2.89,1.32,73.8,3,Male,60.0
7.55,5.63,1.49,0.83,1.83,1.87,4.08,2.34,74.9,3,Female,79.85
8.19,4.62,1.18,1.25,0.39,1.18,2.53,2.28,62.5,7,Male,63.99
7.05,2.65,2.05,1.8,1.21,1.98,3.49,1.43,71.5,4,Female,58.6
5.46,5.51,1.89,1.01,0.87,0.79,1.99,3.67,86.5,4,Male,75.16
5.37,4.72,0.84,2.57,2.04,0.36,3.07,2.08,97.0,6,Male,71.9
5.29,8.39,2.07,3.35,1.2,0.99,1.76,1.59,74.5,2,Female,75.65
4.88,6.69,2.31,2.84,1.44,1.52,2.25,0.9,68.4,2,Male,72.44
7.13,5.57,2.9,3.02,1.35,1.8,2.26,1.19,78.8,5,Female,64.19
8.35,4.87,5.7,0.62,0.32,2.22,2.98,0.88,58.6,2,Female,72.52
6.98,4.75,3.15,1.76,2.62,1.4,1.68,1.83,92.8,8,Male,66.98
4.29,2.99,3.28,2.47,2.03,1.73,1.04,1.2,63.2,7,Female,49.98
6.77,1.89,4.16,2.87,0.9,2.16,2.97,2.71,81.8,10,Female,41.16
6.8,3.19,3.19,3.75,1.65,0.65,2.93,1.47,81.6,2,Male,59.17
9.52,4.43,4.02,3.07,2.28,1.05,2.61,2.76,85.5,8,Male,67.95
5.25,1.34,3.86,2.9,1.54,3.14,3.43,2.44,81.1,1,Male,53.4
6.53,3.68,3.66,4.63,2.75,1.8,2.3,2.58,78.0,7,Male,60.42
9.05,4.13,7.1,2.1,3.83,1.56,2.78,2.81,83.1,2,Male,66.64
7.54,4.18,4.68,1.71,1.4,1.83,2.15,3.79,88.0,8,Female,60.17
7.68,3.51,2.09,2.18,1.03,0.27,2.24,1.24,99.6,1,Male,72.56
7.14,3.99,3.98,1.08,0.71,0.75,2.84,2.76,64.8,1,Male,65.5
7.4,7.09,2.47,2.07,0.0,0.49,4.77,2.36,55.9,3,Female,73.77
7.93,5.49,4.08,0.27,2.5,1.49,3.24,2.96,59.4,4,Male,66.75
6.03,3.66,1.71,1.47,1.22,0.94,3.05,2.1,56.2,8,Female,49.46
8.05,4.4,2.06,1.88,2.2,1.27,3.27,3.06,63.6,2,Female,71.44
5.35,4.46,3.95,2.95,2.36,0.98,0.15,0.84,62.1,8,Female,48.44
7.39,3.35,4.8,3.11,0.64,0.06,2.82,1.1,73.0,5,Female,49.49
7.21,3.35,4.15,1.04,0.76,1.82,3.41,1.49,88.3,1,Male,65.46
6.26,6.02,4.61,4.08,2.9,0.0,2.58,1.93,85.5,10,Female,57.97
6.97,3.87,3.99,2.15,1.44,0.69,2.46,2.04,70.5,6,Male,57.1
6.25,2.86,3.72,2.24,0.97,0.28,1.56,1.33,71.6,9,Female,45.59
5.71,4.44,2.85,0.38,0.66,0.58,2.07,1.11,100.0,1,Male,69.81
6.58,4.68,4.56,1.38,1.39,1.34,1.67,1.41,85.1,5,Male,62.02
5.68,1.54,4.83,3.05,2.71,2.06,3.5,0.46,80.1,2,Male,53.67
7.39,4.44,3.42,2.17,2.05,0.11,4.0,1.74,79.5,6,Female,63.02
5.62,5.8,3.35,2.11,1.65,0.81,4.44,1.95,74.5,8,Male,61.55
7.85,5.18,5.57,2.23,2.77,0.0,1.65,2.4,100.0,9,Female,65.03
5.58,7.84,3.47,0.56,2.62,0.78,1.83,2.15,75.7,10,Female,69.37
6.32,6.38,3.6,1.9,1.77,1.25,1.75,3.61,79.8,3,Male,74.06
6.25,6.67,4.13,3.41,3.72,1.74,1.48,2.73,58.2,3,Male,66.08
8.59,8.7,3.37,3.09,1.3,0.0,1.5,2.66,70.4,8,Female,76.99
7.4,5.64,2.43,1.87,2.38,1.59,1.98,2.33,71.4,8,Female,66.35
6.75,4.74,3.99,3.56,1.19,0.52,3.37,2.48,83.8,4,Female,64.57
7.6,5.96,3.45,0.74,2.22,0.35,1.78,1.8,68.7,4,Male,71.58
4.47,3.66,5.89,1.03,1.3,1.25,3.55,2.09,78.6,2,Female,57.73
6.95,4.66,4.52,3.86,1.87,1.64,3.87,3.73,70.7,8,Male,54.96
9.4,3.53,2.73,2.58,3.41,1.13,2.79,1.94,64.8,2,Male,69.29
7.16,5.1,4.45,1.71,2.26,0.43,3.73,0.8,64.3,6,Female,60.44
7.08,3.52,3.9,1.94,1.88,1.13,1.14,2.63,75.9,4,Female,63.38
7.66,3.47,5.2,1.19,0.88,0.69,1.94,2.79,79.2,6,Male,59.99
8.07,5.12,2.82,2.28,1.65,1.62,2.69,2.14,75.7,10,Female,59.7
4.6,4.29,3.75,2.2,0.69,1.95,2.72,0.31,68.0,9,Male,53.31
4.98,1.61,3.37,2.02,2.21,1.91,3.93,3.16,76.3,10,Male,38.2
7.25,2.32,3.58,0.84,2.19,1.19,1.5,2.21,74.1,7,Female,52.99
6.14,2.78,2.35,2.26,1.36,1.99,1.96,1.72,65.5,5,Female,52.51
8.57,3.18,4.25,1.47,2.83,0.49,2.42,3.07,79.0,10,Male,59.37
6.62,5.12,4.04,1.01,2.72,2.45,1.98,0.18,99.7,6,Female,68.17
4.68,4.83,5.17,3.27,1.62,0.48,1.46,2.1,76.2,4,Male,59.63
5.48,6.1,3.49,4.17,1.95,0.0,2.02,1.51,60.5,9,Male,49.74
3.7,5.63,2.96,3.94,1.03,2.16,2.25,3.34,95.6,10,Male,60.63
6.72,6.11,4.53,2.65,1.28,0.7,3.95,2.22,93.1,5,Female,69.02
6.77,5.41,2.47,1.73,0.64,1.28,1.48,1.22,95.2,9,Male,65.25
6.49,4.81,4.91,1.93,1.12,0.48,3.32,3.02,77.5,5,Male,58.61
8.29,6.15,4.91,2.41,1.42,2.85,3.77,0.0,68.6,5,Female,68.57
8.44,5.88,5.13,1.58,0.17,2.48,1.99,2.46,67.3,6,Male,65.71
6.8,5.06,3.99,3.32,1.96,2.28,2.76,0.86,91.7,6,Male,61.55
4.44,6.41,2.87,0.0,2.32,1.26,3.08,1.58,97.3,9,Male,67.29
7.74,0.98,3.64,1.7,1.49,1.89,2.91,1.78,67.0,10,Female,42.49
7.67,4.06,3.99,2.8,0.0,1.16,2.58,2.82,47.8,8,Male,48.05
7.37,4.04,2.77,1.15,1.3,1.99,1.82,3.98,77.8,6,Male,62.56
8.18,6.23,5.23,1.76,0.39,0.91,3.16,0.4,67.1,2,Female,70.58
5.6,6.86,4.25,2.59,1.01,2.31,2.13,2.4,69.5,4,Male,71.5
9.41,2.32,2.34,3.52,2.66,0.88,2.53,3.98,75.1,2,Male,66.71
5.85,6.62,5.95,0.71,0.0,0.96,2.68,1.48,82.9,1,Female,73.34
7.9,2.74,3.63,0.63,0.85,0.87,3.36,1.43,68.6,7,Female,55.65
4.98,2.79,2.08,1.05,2.16,1.33,4.43,2.21,79.6,3,Female,58.79
5.88,4.15,2.42,0.46,0.94,0.93,1.76,2.75,76.5,1,Male,67.96
8.82,4.02,5.43,0.53,0.88,1.54,2.55,2.59,50.3,3,Male,63.03
6.69,2.16,5.87,1.03,3.13,0.86,1.02,1.68,84.5,1,Male,57.24
8.01,5.47,4.81,3.23,1.8,1.75,3.98,1.28,72.6,2,Female,68.32
7.28,5.52,5.22,1.69,2.25,2.26,2.54,3.18,62.8,5,Female,61.31
6.87,6.08,5.08,2.03,1.9,1.25,2.2,1.3,69.3,7,Male,69.0
8.64,3.85,4.22,1.04,1.63,2.75,2.55,0.28,80.4,8,Female,66.74
6.72,4.44,3.93,2.63,2.51,1.99,2.6,0.69,78.6,4,Male,63.95
4.86,4.45,4.2,3.88,3.02,2.7,1.77,1.48,85.7,8,Female,59.02
6.04,7.03,4.46,1.11,0.15,1.16,3.69,3.34,83.2,1,Female,79.44
7.66,0.25,2.54,3.72,1.47,0.04,3.14,0.93,63.9,2,Male,45.51
7.47,3.06,4.45,2.36,1.47,0.71,3.28,3.37,42.5,4,Male,53.64
5.12,4.51,5.4,2.02,1.16,0.78,1.82,3.18,79.5,7,Male,50.7
6.13,2.87,3.23,2.4,2.28,0.53,1.77,2.2,85.6,2,Male,60.91
6.3,4.11,3.09,2.39,1.71,0.0,2.39,0.0,75.6,1,Male,58.53
6.56,4.31,4.12,3.86,3.04,1.92,3.3,0.93,85.9,6,Male,57.98
5.35,3.51,2.66,2.52,2.38,0.0,3.0,1.43,66.0,5,Female,49.47
6.25,4.6,1.79,2.54,2.59,1.85,1.72,3.56,73.8,5,Male,62.19
6.13,5.44,4.99,1.58,0.54,2.73,3.17,1.49,67.0,5,Male,59.94
7.93,4.15,2.91,2.84,0.86,0.66,1.53,1.3,86.4,10,Male,58.47
7.97,3.82,3.52,1.04,0.92,1.47,1.84,2.17,67.1,2,Male,63.69
6.83,4.25,2.71,2.11,2.56,0.92,2.66,0.73,100.0,7,Female,64.08
6.53,4.49,5.16,4.88,0.73,1.78,1.33,1.98,72.0,8,Female,49.13
7.17,1.89,4.61,0.0,0.75,0.36,1.54,1.28,87.6,8,Male,49.05
6.02,5.19,3.19,2.23,0.6,1.11,4.05,4.42,72.1,1,Male,66.88
5.62,3.82,1.97,2.27,3.7,1.98,3.87,1.17,94.1,4,Female,64.64
5.87,6.39,3.05,1.77,1.39,1.17,4.79,3.74,93.6,10,Male,69.09
6.24,5.39,4.24,1.8,1.92,0.06,2.95,0.97,74.1,8,Male,56.61
5.6,6.26,3.75,2.09,0.59,2.07,3.14,2.24,81.3,10,Male,57.54
7.19,2.98,3.64,1.75,2.27,0.29,2.35,2.45,93.3,8,Male,58.77
7.88,3.94,3.78,2.22,0.08,1.26,2.15,2.13,81.7,1,Female,62.14
5.1,2.64,4.49,1.51,0.72,1.61,3.37,2.07,67.0,10,Female,43.29
7.03,3.44,3.45,4.02,0.91,1.28,3.86,2.78,78.8,9,Male,47.15
6.74,6.38,4.09,1.75,1.68,2.98,3.29,2.38,69.0,7,Male,68.14
7.41,6.73,2.22,2.57,0.87,1.71,1.66,1.84,79.8,1,Female,79.43
6.98,2.78,6.82,1.33,2.72,1.06,2.89,1.39,68.6,10,Male,43.12
5.26,3.81,3.13,2.93,1.9,1.62,1.73,1.85,82.5,9,Female,51.73
5.49,4.39,3.76,2.73,0.95,1.35,2.18,1.84,56.5,9,Male,45.61
7.04,5.38,4.24,2.42,2.3,1.23,4.14,1.82,64.5,3,Female,61.83
8.23,1.86,2.97,0.97,1.19,1.37,1.3,2.07,68.5,10,Male,46.13
4.34,2.1,3.51,1.25,1.03,0.9,4.67,0.73,76.1,1,Female,52.26
7.41,5.23,3.49,3.69,2.22,1.35,3.05,1.08,59.9,6,Male,63.3
8.43,1.58,2.31,1.24,0.0,0.85,2.03,2.75,67.4,8,Female,45.92
6.82,3.83,4.07,2.64,2.09,0.0,2.57,0.0,87.3,3,Female,60.16
7.66,4.74,1.36,1.06,0.93,2.0,1.82,3.08,88.8,10,Female,66.19
6.16,5.12,5.78,3.01,0.93,0.8,1.95,1.5,47.6,6,Male,51.32
6.86,4.29,4.53,1.31,3.07,1.3,2.57,3.5,71.0,2,Male,67.33
5.05,3.95,4.33,1.04,1.08,0.67,2.17,3.1,93.3,10,Female,51.38
4.19,5.77,1.24,1.29,2.26,0.69,1.57,1.71,82.6,2,Male,73.78
8.13,4.93,2.47,1.45,1.72,0.47,2.28,1.8,82.9,10,Female,63.11
5.82,3.53,5.31,2.4,1.81,1.86,1.19,3.43,84.8,10,Male,43.19
6.45,4.56,8.9,2.07,1.3,2.03,1.23,3.15,66.5,10,Female,44.73
5.34,5.07,5.05,0.9,1.26,1.22,1.22,2.88,80.6,4,Male,66.6
5.31,7.08,4.85,1.97,2.72,0.82,4.17,3.03,83.7,5,Female,75.87
6.79,5.68,4.18,0.86,2.24,0.01,2.91,1.02,79.3,8,Male,67.54
6.12,6.32,2.4,2.64,1.1,1.76,3.1,2.18,73.3,9,Female,64.72
7.45,3.58,4.79,2.83,0.66,0.73,2.51,1.31,77.4,3,Female,54.76
7.54,3.71,2.07,1.98,1.03,0.42,3.01,1.0,64.3,5,Male,57.36
7.39,4.15,1.93,2.27,2.29,1.22,3.68,2.15,85.4,4,Female,66.54
7.29,4.28,1.84,3.75,2.44,0.97,2.91,1.63,60.8,7,Female,54.62
8.89,2.99,4.77,1.84,1.94,0.14,4.14,1.85,68.2,8,Male,48.47
5.72,6.4,3.43,1.06,0.21,0.23,2.46,1.55,86.2,5,Male,67.75
6.93,5.83,3.63,2.58,2.1,1.44,3.1,0.87,81.5,9,Female,60.0
8.36,4.04,3.48,0.87,2.54,0.74,3.2,3.53,72.2,4,Female,70.0
8.52,5.46,2.04,1.79,1.64,1.56,1.57,2.14,57.5,8,Male,68.36
5.29,4.83,2.63,1.4,3.08,1.3,2.54,0.7,77.4,5,Female,65.52
6.63,5.58,2.69,1.3,0.44,1.93,0.66,2.16,70.4,2,Male,74.19
8.63,2.48,1.67,1.75,2.05,0.62,2.37,3.37,83.8,4,Male,65.64
7.61,4.28,2.84,2.9,0.68,1.36,2.22,2.86,71.8,9,Female,54.57
7.23,4.41,2.09,3.11,2.35,1.65,2.16,1.53,57.0,5,Male,67.46
6.74,5.44,4.25,2.93,1.99,0.76,2.09,1.55,61.4,8,Female,55.74
6.54,3.56,4.36,2.34,2.94,1.99,3.01,1.14,72.9,7,Male,50.11
7.35,0.75,1.82,1.74,1.9,0.03,1.61,1.33,79.3,5,Male,51.02
6.7,2.88,3.11,0.0,1.18,0.62,4.36,1.41,64.0,3,Female,58.07
6.95,4.41,5.91,2.37,1.11,0.01,3.07,0.68,68.9,8,Male,49.24
7.09,4.6,2.23,0.0,1.3,0.68,1.7,1.6,87.5,7,Female,70.97
6.19,7.03,4.05,0.08,1.09,1.09,3.15,2.31,91.3,4,Female,78.56
7.64,5.37,3.64,1.84,2.58,1.78,3.49,1.63,81.3,1,Female,74.26
10.5,4.62,4.92,2.26,2.52,1.09,2.87,2.2,74.6,4,Female,68.83
4.87,4.45,3.88,1.55,0.3,0.78,1.49,3.46,70.5,1,Female,62.94
7.39,6.16,2.94,3.54,1.53,0.12,4.74,3.65,84.5,8,Male,67.12
6.09,3.61,3.59,2.46,1.55,0.35,3.14,1.94,74.2,3,Female,61.72
7.69,4.29,3.61,1.75,0.87,1.42,1.25,2.79,89.0,4,Male,70.64
7.06,2.87,3.38,3.39,1.85,1.82,2.71,1.85,89.7,3,Female,56.59
7.91,6.63,1.79,3.57,2.67,0.91,2.28,1.56,82.9,10,Female,71.13
8.41,5.09,5.12,2.51,2.21,2.05,2.51,0.99,72.0,9,Male,56.75
7.23,3.44,4.89,1.22,2.58,0.54,1.31,2.08,73.0,10,Female,55.6
8.36,4.33,2.14,1.45,0.93,0.93,2.55,2.98,58.3,8,Male,57.01
4.19,5.26,3.11,0.55,1.53,0.99,1.67,0.85,77.4,2,Female,68.47
8.91,4.12,3.21,1.96,0.89,2.27,2.15,1.74,77.0,7,Male,61.48
7.45,3.7,2.0,0.95,1.69,1.29,2.89,1.7,61.5,5,Male,55.82
8.29,3.52,1.07,1.67,1.76,0.0,2.02,2.22,100.0,8,Female,62.64
5.54,5.01,2.63,2.26,2.27,1.87,2.21,2.24,84.7,7,Female,64.05
6.0,3.96,3.04,0.02,2.55,2.49,3.32,2.48,67.9,7,Female,61.48
7.18,3.82,1.63,0.74,2.05,1.03,1.61,3.71,100.0,7,Female,70.6
6.98,2.5,3.73,1.49,0.81,0.57,1.85,1.22,72.0,9,Female,42.59
7.34,4.62,5.01,1.95,0.42,1.8,1.25,1.17,88.0,9,Female,58.93
8.3,4.23,4.59,1.51,1.92,2.57,1.68,2.22,79.1,6,Female,67.62
4.88,4.02,3.34,1.73,2.7,1.79,2.63,3.31,72.5,1,Male,66.7
8.17,4.8,1.11,1.29,1.48,0.06,3.14,0.68,74.0,1,Female,74.22
7.01,5.62,4.43,0.55,0.28,1.73,1.69,2.3,95.2,1,Male,77.51
6.76,5.55,3.69,1.47,3.17,1.48,3.11,1.82,88.5,9,Male,67.36
5.23,5.33,4.05,1.79,1.89,0.53,2.61,2.77,76.5,5,Female,67.27
7.6,4.14,6.02,1.69,1.64,2.1,1.12,2.57,53.4,5,Female,61.31
4.1,3.65,2.43,2.11,0.57,1.51,2.67,2.04,81.7,3,Female,60.07
7.78,2.93,0.0,2.42,1.51,2.12,3.69,2.44,63.0,10,Female,54.05
5.21,3.61,2.13,2.68,2.05,0.46,0.61,1.41,84.5,3,Male,62.69
7.06,4.53,4.13,1.37,1.9,1.48,4.51,2.72,69.4,9,Female,56.46
6.86,3.32,3.54,0.42,0.96,0.57,1.89,3.25,70.7,7,Male,55.71
8.4,4.64,1.92,3.27,1.45,1.37,0.85,2.09,70.3,4,Male,67.94
6.79,3.05,1.65,2.39,1.01,2.23,2.64,1.63,90.2,7,Male,64.57
6.17,2.01,3.04,1.05,2.83,0.2,3.33,1.87,56.8,10,Female,39.53
6.39,5.73,1.88,2.28,2.22,0.24,2.22,2.71,86.9,1,Male,82.41
8.53,3.79,4.18,3.07,1.08,1.87,2.81,1.96,82.1,1,Female,61.21
7.64,3.24,2.97,3.73,0.57,1.19,4.62,0.92,77.1,2,Male,58.53
6.54,2.86,2.68,2.25,1.72,2.02,2.71,2.86,72.6,7,Male,52.87
6.72,5.13,2.51,3.06,1.11,0.63,5.48,1.12,83.8,6,Male,63.79
5.12,6.56,3.84,0.79,1.17,1.24,3.76,2.38,72.7,7,Male,64.26
7.47,3.9,3.56,1.96,0.59,1.68,2.55,0.32,72.6,5,Female,63.06
4.89,4.18,3.76,1.66,0.69,1.35,2.79,2.1,78.8,9,Male,50.62
7.9,6.11,3.73,2.34,1.63,0.0,2.18,1.94,98.6,5,Male,72.57
7.15,1.78,3.41,3.61,1.29,3.18,2.75,0.23,59.8,5,Male,44.08
9.86,7.45,2.16,2.25,3.5,1.35,3.06,2.3,84.0,5,Female,87.54
5.68,8.17,2.55,1.06,1.98,0.26,2.1,1.01,76.3,3,Female,84.72
6.88,0.44,2.99,0.74,0.58,1.42,1.12,2.08,75.4,10,Male,41.96
9.16,4.35,6.18,3.65,0.27,1.5,3.82,1.63,59.7,1,Male,57.13
8.43,3.42,1.75,2.51,1.82,1.9,3.47,0.67,56.9,1,Male,63.2
6.16,4.1,2.96,2.45,1.18,1.85,1.08,1.06,82.1,5,Female,58.95
7.27,3.87,3.63,1.66,2.57,1.05,2.67,1.13,62.8,7,Female,55.8
7.0,5.72,3.11,2.27,1.73,0.0,3.53,2.88,90.2,5,Male,73.95
7.34,4.33,4.9,1.01,0.0,1.52,3.42,2.75,65.8,8,Male,54.14
6.16,3.13,3.1,2.39,0.68,0.05,1.81,3.98,84.6,4,Male,59.56
6.89,4.24,3.2,0.83,0.96,2.05,3.48,1.54,71.1,3,Male,67.0
5.08,5.27,4.56,1.64,1.85,0.69,2.52,1.51,70.5,7,Male,55.87
7.16,2.72,5.85,1.36,0.66,1.64,2.89,2.12,67.0,3,Male,48.73
7.54,2.03,5.33,0.0,1.62,0.74,1.58,1.68,83.2,6,Male,50.84
6.73,7.49,3.32,1.65,0.43,0.86,0.0,1.48,86.6,7,Male,78.08
5.06,3.54,3.44,1.1,1.5,0.64,1.72,2.05,74.2,2,Male,61.85
8.19,4.29,3.56,1.79,1.8,1.7,3.04,2.63,85.1,3,Male,70.62
7.44,3.9,3.69,2.0,2.67,0.77,2.29,0.1,78.2,1,Male,70.54
6.13,5.32,2.4,3.77,1.7,1.74,3.15,1.49,62.0,3,Female,65.83
6.66,7.16,4.72,2.3,0.85,0.78,3.61,0.74,82.5,9,Male,64.54
5.2,5.37,3.77,2.33,2.69,1.04,2.17,1.86,74.4,1,Male,65.48
5.77,2.22,3.44,2.5,1.35,1.22,2.07,2.39,46.6,8,Female,43.79
6.35,2.42,1.85,2.87,2.12,1.31,0.31,3.01,73.3,2,Male,60.57
8.47,3.9,3.58,2.45,1.01,0.55,0.95,1.61,57.7,5,Male,57.42
6.23,4.1,1.04,2.28,1.57,1.69,1.16,2.1,63.2,1,Female,68.05
7.77,1.92,2.74,2.71,0.86,1.01,3.06,0.49,75.0,5,Male,55.59
6.35,5.73,2.77,0.0,1.76,1.58,2.18,1.23,77.1,10,Female,67.63
7.3,2.87,3.87,4.09,2.14,1.19,1.97,2.19,68.0,2,Female,56.45
6.83,6.74,5.94,3.59,1.1,1.61,1.85,0.78,84.3,4,Female,71.25
8.05,7.23,4.24,2.22,1.06,0.91,1.72,3.11,76.6,3,Female,82.9
6.36,4.13,5.38,0.59,1.79,0.65,3.42,2.47,72.9,8,Male,54.49
5.11,5.16,4.34,3.21,0.84,1.5,2.59,1.19,78.5,9,Male,53.82
5.34,2.65,4.96,1.31,0.29,0.85,3.49,0.67,92.5,3,Male,46.9
6.36,5.44,5.91,2.53,1.78,2.22,0.31,1.35,52.2,2,Male,66.91
5.5,3.75,2.55,0.72,1.41,1.25,3.03,1.19,93.6,9,Female,54.18
